Nom,STOXX® Europe 600 (Price Return EUR)
ISIN,EU0009658202
Symbole,SXXP
Source,https://stoxx.com/index/sxxp/?factsheet=true
Date,Close
2024-06-30,511.42
2024-07-31,518.1799
2024-08-31,525.05
2024-09-30,522.89
2024-10-31,505.39
2024-11-30,510.25
2024-12-31,507.62
2025-01-31,539.53
2025-02-28,557.19
2025-03-31,533.92
2025-04-30,527.48
2025-05-31,548.67
2025-06-30,541.37
2025-07-31,546.11
2025-08-31,550.14
2025-09-30,558.1799
2025-10-31,571.89
2025-11-30,576.4299
2025-12-31,592.19
2026-01-31,611.0
2026-02-28,633.85
2026-03-31,583.14
2026-04-30,611.28
2026-05-31,626.0
2026-06-30,641.73
