Nom,EURO STOXX 50® (Price Return EUR)
ISIN,EU0009658145
Symbole,SX5E
Source,https://stoxx.com/index/sx5e/?factsheet=true
Date,Close
2022-07-31,3708.1
2022-08-31,3517.25
2022-09-30,3318.2
2022-10-31,3617.54
2022-11-30,3964.72
2022-12-31,3793.62
2023-01-31,4163.45
2023-02-28,4238.38
2023-03-31,4315.05
2023-04-30,4359.31
2023-05-31,4218.04
2023-06-30,4399.09
2023-07-31,4471.31
2023-08-31,4297.11
2023-09-30,4174.66
2023-10-31,4061.12
2023-11-30,4382.47
2023-12-31,4521.4399
2024-01-31,4648.4
2024-02-29,4877.77
2024-03-31,5083.42
2024-04-30,4921.22
2024-05-31,4983.67
2024-06-30,4894.02
2024-07-31,4872.9399
2024-08-31,4957.9799
2024-09-30,5000.45
2024-10-31,4827.63
2024-11-30,4804.4
2024-12-31,4895.9799
2025-01-31,5286.87
2025-02-28,5463.54
2025-03-31,5248.39
2025-04-30,5160.22
2025-05-31,5366.59
2025-06-30,5303.24
2025-07-31,5319.92
2025-08-31,5351.7299
2025-09-30,5529.96
2025-10-31,5662.04
2025-11-30,5668.17
2025-12-31,5791.41
2026-01-31,5947.81
2026-02-28,6138.41
2026-03-31,5569.7299
2026-04-30,5881.51
2026-05-31,6050.54
2026-06-30,6328.09
