Nom,STOXX® Europe 600 (Gross Return EUR)
ISIN,CH0102635015
Symbole,SXXGR
Source,https://stoxx.com/index/sxxgr/?factsheet=true
Date,Close
2024-07-31,309.72
2024-08-31,314.55
2024-09-30,313.54
2024-10-31,303.38
2024-11-30,306.87
2024-12-31,305.49
2025-01-31,324.96
2025-02-28,336.1
2025-03-31,323.56
2025-04-30,321.89
2025-05-31,338.14
2025-06-30,334.1
2025-07-31,337.39
2025-08-31,340.62
2025-09-30,345.86
2025-10-31,354.79
2025-11-30,358.26
2025-12-31,368.33
2026-01-31,380.23
2026-02-28,394.95
2026-03-31,365.1
2026-04-30,385.36
2026-05-31,397.68
2026-06-30,408.32
2026-07-31,413.49
