Nom,EURO STOXX 50® (Gross Return EUR)
ISIN,CH0102173264
Symbole,SX5GT
Source,https://stoxx.com/index/sx5gt/?factsheet=true
Date,Close
2023-08-31,1988.25
2023-09-30,1933.12
2023-10-31,1882.25
2023-11-30,2034.32
2023-12-31,2099.78
2024-01-31,2162.2
2024-02-29,2272.07
2024-03-31,2371.56
2024-04-30,2318.3
2024-05-31,2374.34
2024-06-30,2333.6
2024-07-31,2326.88
2024-08-31,2368.82
2024-09-30,2390.82
2024-10-31,2311.6
2024-11-30,2304.1
2024-12-31,2349.0
2025-01-31,2540.18
2025-02-28,2628.68
2025-03-31,2528.88
2025-04-30,2501.9
2025-05-31,2637.56
2025-06-30,2608.55
2025-07-31,2620.69
2025-08-31,2637.64
2025-09-30,2727.77
2025-10-31,2796.73
2025-11-30,2804.98
2025-12-31,2868.21
2026-01-31,2947.9899
2026-02-28,3046.51
2026-03-31,2768.21
2026-04-30,2944.56
2026-05-31,3059.99
2026-06-30,3203.4
