Pair,Status,Error
STOXX Europe 600,failed_empty,"Paire incomplète: STOXX_600_Gross_Return, STOXX_600_Price_Return"
EURO STOXX 50,failed_empty,"Paire incomplète: EURO_STOXX_50_Gross_Return, EURO_STOXX_50_Price_Return"
