Nom,STOXX® Europe 600 (Price Return EUR)
ISIN,EU0009658202
Symbole,SXXP
Source,https://stoxx.com/index/sxxp/?factsheet=true
Date,Close
1987-06-30,95.19
1987-07-01,94.65
1987-07-02,95.7
1987-07-03,97.03
1987-07-06,97.51
1987-07-07,97.68
1987-07-08,97.94
1987-07-09,98.04
1987-07-10,98.32
1987-07-13,98.46
1987-07-14,99.01
1987-07-15,99.61
1987-07-16,100.34
1987-07-17,100.58
1987-07-20,100.24
1987-07-21,99.74
1987-07-22,98.67
1987-07-23,98.31
1987-07-24,98.54
1987-07-27,98.23
1987-07-28,99.26
1987-07-29,100.2
1987-07-30,100.44
1987-07-31,99.93
1987-08-03,99.43
1987-08-04,98.96
1987-08-05,98.96
1987-08-06,98.29
1987-08-07,97.58
1987-08-10,97.65
1987-08-11,97.89
1987-08-12,98.97
1987-08-13,98.9
1987-08-14,99.12
1987-08-17,98.42
1987-08-18,97.31
1987-08-19,96.42
1987-08-20,96.75
1987-08-21,97.39
1987-08-24,97.21
1987-08-25,97.42
1987-08-26,97.46
1987-08-27,97.6
1987-08-28,97.84
1987-08-31,97.98
1987-09-01,98.84
1987-09-02,98.27
1987-09-03,98.33
1987-09-04,98.24
1987-09-07,97.93
1987-09-08,97.56
1987-09-09,97.03
1987-09-10,97.53
1987-09-11,97.96
1987-09-14,98.32
1987-09-15,98.15
1987-09-16,98.22
1987-09-17,98.94
1987-09-18,99.21
1987-09-21,99.16
1987-09-22,98.96
1987-09-23,100.15
1987-09-24,99.07
1987-09-25,99.42
1987-09-28,100.42
1987-09-29,100.35
1987-09-30,100.16
1987-10-01,100.6
1987-10-02,101.24
1987-10-05,101.7
1987-10-06,101.18
1987-10-07,100.58
1987-10-08,101.12
1987-10-09,100.45
1987-10-12,99.3
1987-10-13,99.75
1987-10-14,99.1
1987-10-15,97.79
1987-10-16,97.04
1987-10-19,88.79
1987-10-20,81.65
1987-10-21,86.46
1987-10-22,82.75
1987-10-23,81.07
1987-10-26,75.63
1987-10-27,76.29
1987-10-28,73.16
1987-10-29,72.7
1987-10-30,76.32
1987-11-02,75.69
1987-11-03,73.65
1987-11-04,71.41
1987-11-05,71.5
1987-11-06,71.38
1987-11-09,68.96
1987-11-10,66.69
1987-11-11,68.76
1987-11-12,71.98
1987-11-13,71.73
1987-11-16,72.94
1987-11-17,71.62
1987-11-18,71.6
1987-11-19,70.61
1987-11-20,69.75
1987-11-23,70.23
1987-11-24,71.85
1987-11-25,71.41
1987-11-26,71.48
1987-11-27,71.51
1987-11-30,69.22
1987-12-01,68.96
1987-12-02,69.21
1987-12-03,68.86
1987-12-04,67.93
1987-12-07,67.98
1987-12-08,68.69
1987-12-09,69.14
1987-12-10,68.93
1987-12-11,69.23
1987-12-14,69.48
1987-12-15,70.29
1987-12-16,71.43
1987-12-17,71.95
1987-12-18,71.94
1987-12-21,72.92
1987-12-22,72.99
1987-12-23,73.73
1987-12-24,73.85
1987-12-25,73.84
1987-12-28,74.07
1987-12-29,71.74
1987-12-30,72.56
1987-12-31,71.1
1988-01-01,71.1
1988-01-04,70.86
1988-01-05,72.94
1988-01-06,73.4
1988-01-07,73.62
1988-01-08,73.71
1988-01-11,72.07
1988-01-12,71.72
1988-01-13,71.07
1988-01-14,71.32
1988-01-15,72.25
1988-01-18,73.21
1988-01-19,72.31
1988-01-20,71.52
1988-01-21,71.2
1988-01-22,71.7
1988-01-25,71.61
1988-01-26,71.72
1988-01-27,71.6
1988-01-28,71.74
1988-01-29,72.0
1988-02-01,71.79
1988-02-02,71.63
1988-02-03,71.84
1988-02-04,72.2
1988-02-05,71.95
1988-02-08,71.32
1988-02-09,70.8
1988-02-10,71.48
1988-02-11,72.4
1988-02-12,72.8
1988-02-15,73.37
1988-02-16,73.41
1988-02-17,74.13
1988-02-18,73.96
1988-02-19,73.87
1988-02-22,74.47
1988-02-23,74.82
1988-02-24,75.11
1988-02-25,75.82
1988-02-26,75.19
1988-02-29,75.45
1988-03-01,76.08
1988-03-02,76.97
1988-03-03,76.93
1988-03-04,77.19
1988-03-07,76.37
1988-03-08,77.38
1988-03-09,77.76
1988-03-10,78.75
1988-03-11,77.93
1988-03-14,78.04
1988-03-15,78.55
1988-03-16,78.54
1988-03-17,76.89
1988-03-18,80.74
1988-03-21,80.09
1988-03-22,79.42
1988-03-23,79.44
1988-03-24,78.53
1988-03-25,77.75
1988-03-28,76.06
1988-03-29,76.7
1988-03-30,76.55
1988-03-31,76.07
1988-04-01,76.06
1988-04-04,76.03
1988-04-05,75.72
1988-04-06,76.83
1988-04-07,77.44
1988-04-08,77.72
1988-04-11,78.89
1988-04-12,79.05
1988-04-13,79.31
1988-04-14,78.72
1988-04-15,77.69
1988-04-18,77.67
1988-04-19,78.29
1988-04-20,77.82
1988-04-21,77.7
1988-04-22,77.64
1988-04-25,77.97
1988-04-26,78.59
1988-04-27,78.72
1988-04-28,78.81
1988-04-29,78.49
1988-05-02,78.5
1988-05-03,78.22
1988-05-04,78.3
1988-05-05,78.02
1988-05-06,78.23
1988-05-09,77.51
1988-05-10,77.3
1988-05-11,76.08
1988-05-12,76.17
1988-05-13,76.21
1988-05-16,77.23
1988-05-17,77.85
1988-05-18,77.65
1988-05-19,76.83
1988-05-20,77.31
1988-05-23,77.0
1988-05-24,77.46
1988-05-25,78.09
1988-05-26,78.03
1988-05-27,77.98
1988-05-30,78.25
1988-05-31,78.85
1988-06-01,79.39
1988-06-02,80.92
1988-06-03,79.61
1988-06-06,80.05
1988-06-07,79.82
1988-06-08,80.23
1988-06-09,81.06
1988-06-10,81.27
1988-06-13,81.1
1988-06-14,81.74
1988-06-15,82.07
1988-06-16,81.49
1988-06-17,81.46
1988-06-20,81.32
1988-06-21,81.65
1988-06-22,82.47
1988-06-23,82.91
1988-06-24,82.6
1988-06-27,81.81
1988-06-28,81.87
1988-06-29,82.13
1988-06-30,81.95
1988-07-01,82.32
1988-07-04,81.96
1988-07-05,82.64
1988-07-06,83.79
1988-07-07,83.18
1988-07-08,83.61
1988-07-11,83.54
1988-07-12,82.77
1988-07-13,82.72
1988-07-14,82.92
1988-07-15,83.09
1988-07-18,82.93
1988-07-19,82.67
1988-07-20,83.37
1988-07-21,83.42
1988-07-22,82.8
1988-07-25,82.7
1988-07-26,82.94
1988-07-27,83.35
1988-07-28,83.32
1988-07-29,83.82
1988-08-01,84.42
1988-08-02,84.26
1988-08-03,84.45
1988-08-04,84.67
1988-08-05,85.09
1988-08-08,84.79
1988-08-09,84.78
1988-08-10,83.38
1988-08-11,82.8
1988-08-12,83.46
1988-08-15,82.71
1988-08-16,82.88
1988-08-17,83.47
1988-08-18,83.72
1988-08-19,83.76
1988-08-22,83.4
1988-08-23,82.59
1988-08-24,82.59
1988-08-25,81.22
1988-08-26,80.7
1988-08-29,80.45
1988-08-30,80.34
1988-08-31,80.41
1988-09-01,79.62
1988-09-02,79.53
1988-09-05,80.34
1988-09-06,80.58
1988-09-07,80.54
1988-09-08,80.64
1988-09-09,79.99
1988-09-12,80.45
1988-09-13,80.86
1988-09-14,81.57
1988-09-15,81.93
1988-09-16,81.87
1988-09-19,82.02
1988-09-20,82.33
1988-09-21,83.11
1988-09-22,83.03
1988-09-23,83.03
1988-09-26,83.26
1988-09-27,83.54
1988-09-28,83.73
1988-09-29,84.42
1988-09-30,84.47
1988-10-03,84.03
1988-10-04,84.12
1988-10-05,84.71
1988-10-06,85.14
1988-10-07,85.44
1988-10-10,85.91
1988-10-11,85.57
1988-10-12,84.96
1988-10-13,85.5
1988-10-14,86.0
1988-10-17,86.39
1988-10-18,86.57
1988-10-19,86.93
1988-10-20,86.87
1988-10-21,86.63
1988-10-24,86.35
1988-10-25,86.4
1988-10-26,87.43
1988-10-27,86.67
1988-10-28,87.08
1988-10-31,86.97
1988-11-01,87.42
1988-11-02,87.05
1988-11-03,86.78
1988-11-04,87.0
1988-11-07,86.29
1988-11-08,86.98
1988-11-09,86.45
1988-11-10,86.29
1988-11-11,85.47
1988-11-14,84.93
1988-11-15,85.04
1988-11-16,85.22
1988-11-17,85.39
1988-11-18,85.37
1988-11-21,84.82
1988-11-22,85.0
1988-11-23,85.7
1988-11-24,85.71
1988-11-25,84.94
1988-11-28,84.58
1988-11-29,84.83
1988-11-30,85.33
1988-12-01,85.03
1988-12-02,84.65
1988-12-05,84.56
1988-12-06,84.94
1988-12-07,85.35
1988-12-08,84.95
1988-12-09,85.28
1988-12-12,84.52
1988-12-13,84.54
1988-12-14,84.28
1988-12-15,84.43
1988-12-16,85.03
1988-12-19,85.33
1988-12-20,85.93
1988-12-21,85.89
1988-12-22,84.49
1988-12-23,86.07
1988-12-26,86.06
1988-12-27,86.26
1988-12-28,86.53
1988-12-29,87.04
1988-12-30,86.85
1989-01-02,87.04
1989-01-03,87.38
1989-01-04,87.93
1989-01-05,88.38
1989-01-06,88.72
1989-01-09,89.36
1989-01-10,89.35
1989-01-11,89.65
1989-01-12,90.19
1989-01-13,90.56
1989-01-16,90.87
1989-01-17,90.65
1989-01-18,91.29
1989-01-19,91.93
1989-01-20,91.77
1989-01-23,91.66
1989-01-24,92.4
1989-01-25,92.75
1989-01-26,93.1
1989-01-27,94.16
1989-01-30,94.78
1989-01-31,94.71
1989-02-01,94.12
1989-02-02,94.27
1989-02-03,95.3
1989-02-06,94.77
1989-02-07,95.12
1989-02-08,96.15
1989-02-09,95.77
1989-02-10,95.25
1989-02-13,94.26
1989-02-14,94.6
1989-02-15,94.09
1989-02-16,93.98
1989-02-17,93.99
1989-02-20,94.68
1989-02-21,94.32
1989-02-22,93.31
1989-02-23,92.36
1989-02-24,93.12
1989-02-27,90.83
1989-02-28,91.49
1989-03-01,92.12
1989-03-02,92.7
1989-03-03,93.57
1989-03-06,94.43
1989-03-07,94.66
1989-03-08,94.43
1989-03-09,94.4
1989-03-10,94.46
1989-03-13,94.94
1989-03-14,95.56
1989-03-15,95.91
1989-03-16,95.63
1989-03-17,94.9
1989-03-20,92.08
1989-03-21,94.54
1989-03-22,94.2
1989-03-23,94.44
1989-03-24,94.49
1989-03-27,94.37
1989-03-28,94.43
1989-03-29,94.89
1989-03-30,94.4
1989-03-31,95.08
1989-04-03,95.31
1989-04-04,95.8
1989-04-05,95.74
1989-04-06,95.07
1989-04-07,95.02
1989-04-10,94.98
1989-04-11,95.4
1989-04-12,95.37
1989-04-13,95.28
1989-04-14,95.88
1989-04-17,96.23
1989-04-18,96.71
1989-04-19,96.96
1989-04-20,96.12
1989-04-21,96.17
1989-04-24,96.2
1989-04-25,96.18
1989-04-26,96.5
1989-04-27,96.92
1989-04-28,97.08
1989-05-01,97.04
1989-05-02,96.71
1989-05-03,96.8
1989-05-04,97.02
1989-05-05,97.62
1989-05-08,97.09
1989-05-09,97.21
1989-05-10,96.96
1989-05-11,96.83
1989-05-12,97.33
1989-05-15,97.51
1989-05-16,97.36
1989-05-17,97.52
1989-05-18,98.28
1989-05-19,98.9
1989-05-22,98.22
1989-05-23,97.95
1989-05-24,97.49
1989-05-25,98.05
1989-05-26,98.33
1989-05-29,98.57
1989-05-30,98.29
1989-05-31,97.88
1989-06-01,97.87
1989-06-02,97.77
1989-06-05,97.82
1989-06-06,98.07
1989-06-07,98.54
1989-06-08,99.46
1989-06-09,99.57
1989-06-12,99.27
1989-06-13,98.89
1989-06-14,99.15
1989-06-15,98.86
1989-06-16,99.17
1989-06-19,99.56
1989-06-20,100.29
1989-06-21,100.13
1989-06-22,100.55
1989-06-23,100.16
1989-06-26,100.21
1989-06-27,100.82
1989-06-28,101.39
1989-06-29,100.57
1989-06-30,99.11
1989-07-03,99.82
1989-07-04,100.33
1989-07-05,100.03
1989-07-06,100.01
1989-07-07,100.77
1989-07-10,101.02
1989-07-11,102.39
1989-07-12,102.59
1989-07-13,103.09
1989-07-14,103.51
1989-07-17,103.32
1989-07-18,103.52
1989-07-19,104.09
1989-07-20,104.59
1989-07-21,104.57
1989-07-24,103.68
1989-07-25,103.99
1989-07-26,104.47
1989-07-27,105.05
1989-07-28,105.57
1989-07-31,105.53
1989-08-01,105.49
1989-08-02,105.68
1989-08-03,105.27
1989-08-04,106.31
1989-08-07,106.84
1989-08-08,107.21
1989-08-09,107.67
1989-08-10,107.23
1989-08-11,107.55
1989-08-14,106.97
1989-08-15,106.29
1989-08-16,107.28
1989-08-17,107.58
1989-08-18,107.74
1989-08-21,108.21
1989-08-22,107.93
1989-08-23,108.2
1989-08-24,108.71
1989-08-25,109.35
1989-08-28,109.32
1989-08-29,108.69
1989-08-30,108.84
1989-08-31,109.29
1989-09-01,109.6
1989-09-04,110.38
1989-09-05,110.61
1989-09-06,109.57
1989-09-07,110.38
1989-09-08,110.57
1989-09-11,110.17
1989-09-12,110.09
1989-09-13,109.99
1989-09-14,109.45
1989-09-15,109.29
1989-09-18,109.66
1989-09-19,109.26
1989-09-20,109.48
1989-09-21,109.73
1989-09-22,109.84
1989-09-25,109.62
1989-09-26,108.95
1989-09-27,108.3
1989-09-28,107.73
1989-09-29,107.48
1989-10-02,107.17
1989-10-03,108.16
1989-10-04,107.89
1989-10-05,107.5
1989-10-06,107.81
1989-10-09,107.07
1989-10-10,106.18
1989-10-11,105.78
1989-10-12,106.02
1989-10-13,105.59
1989-10-16,99.01
1989-10-17,100.0
1989-10-18,100.92
1989-10-19,102.44
1989-10-20,102.42
1989-10-23,102.7
1989-10-24,101.06
1989-10-25,100.62
1989-10-26,100.09
1989-10-27,97.57
1989-10-30,98.44
1989-10-31,99.25
1989-11-01,99.63
1989-11-02,99.41
1989-11-03,99.36
1989-11-06,99.27
1989-11-07,98.66
1989-11-08,99.7
1989-11-09,100.03
1989-11-10,100.82
1989-11-13,101.32
1989-11-14,100.91
1989-11-15,100.06
1989-11-16,100.72
1989-11-17,100.91
1989-11-20,100.27
1989-11-21,99.88
1989-11-22,100.1
1989-11-23,100.84
1989-11-24,101.21
1989-11-27,101.14
1989-11-28,101.6
1989-11-29,101.93
1989-11-30,102.91
1989-12-01,103.75
1989-12-04,104.0
1989-12-05,104.28
1989-12-06,105.07
1989-12-07,105.25
1989-12-08,105.6
1989-12-11,105.39
1989-12-12,105.21
1989-12-13,105.39
1989-12-14,105.16
1989-12-15,105.25
1989-12-18,104.88
1989-12-19,104.53
1989-12-20,105.47
1989-12-21,105.64
1989-12-22,105.72
1989-12-25,105.72
1989-12-26,105.92
1989-12-27,106.92
1989-12-28,107.5
1989-12-29,108.15
1990-01-01,108.16
1990-01-02,108.63
1990-01-03,110.04
1990-01-04,110.02
1990-01-05,109.02
1990-01-08,109.19
1990-01-09,109.71
1990-01-10,109.08
1990-01-11,109.77
1990-01-12,108.82
1990-01-15,108.31
1990-01-16,107.1
1990-01-17,107.66
1990-01-18,106.5
1990-01-19,106.45
1990-01-22,106.04
1990-01-23,105.41
1990-01-24,103.69
1990-01-25,104.62
1990-01-26,104.8
1990-01-29,105.18
1990-01-30,105.66
1990-01-31,106.08
1990-02-01,106.77
1990-02-02,107.72
1990-02-05,108.38
1990-02-06,107.77
1990-02-07,106.64
1990-02-08,107.41
1990-02-09,106.82
1990-02-12,105.47
1990-02-13,104.97
1990-02-14,105.08
1990-02-15,105.63
1990-02-16,106.62
1990-02-19,105.68
1990-02-20,104.42
1990-02-21,103.59
1990-02-22,104.13
1990-02-23,102.94
1990-02-26,102.38
1990-02-27,103.23
1990-02-28,103.54
1990-03-01,102.67
1990-03-02,103.47
1990-03-05,102.93
1990-03-06,102.85
1990-03-07,103.59
1990-03-08,104.17
1990-03-09,103.87
1990-03-12,103.48
1990-03-13,103.68
1990-03-14,103.96
1990-03-15,104.54
1990-03-16,105.2
1990-03-19,104.57
1990-03-20,104.72
1990-03-21,104.96
1990-03-22,104.44
1990-03-23,105.06
1990-03-26,105.83
1990-03-27,105.24
1990-03-28,105.33
1990-03-29,105.33
1990-03-30,105.28
1990-04-02,104.28
1990-04-03,105.34
1990-04-04,105.31
1990-04-05,105.66
1990-04-06,105.64
1990-04-09,105.34
1990-04-10,105.03
1990-04-11,105.14
1990-04-12,105.37
1990-04-13,105.32
1990-04-16,105.52
1990-04-17,105.5
1990-04-18,105.03
1990-04-19,104.63
1990-04-20,105.1
1990-04-23,104.04
1990-04-24,103.79
1990-04-25,103.25
1990-04-26,102.73
1990-04-27,101.97
1990-04-30,101.75
1990-05-01,102.04
1990-05-02,102.92
1990-05-03,103.47
1990-05-04,104.42
1990-05-07,104.95
1990-05-08,105.1
1990-05-09,104.76
1990-05-10,104.66
1990-05-11,104.8
1990-05-14,105.66
1990-05-15,105.63
1990-05-16,105.62
1990-05-17,107.14
1990-05-18,106.87
1990-05-21,106.63
1990-05-22,107.68
1990-05-23,107.65
1990-05-24,107.47
1990-05-25,106.93
1990-05-28,106.82
1990-05-29,108.04
1990-05-30,109.44
1990-05-31,109.32
1990-06-01,109.68
1990-06-04,110.0
1990-06-05,110.41
1990-06-06,109.36
1990-06-07,109.7
1990-06-08,109.1
1990-06-11,108.45
1990-06-12,109.09
1990-06-13,109.76
1990-06-14,110.01
1990-06-15,109.3
1990-06-18,108.43
1990-06-19,109.12
1990-06-20,109.53
1990-06-21,109.61
1990-06-22,110.18
1990-06-25,110.75
1990-06-26,111.18
1990-06-27,110.65
1990-06-28,110.33
1990-06-29,110.57
1990-07-02,110.87
1990-07-03,111.1
1990-07-04,110.95
1990-07-05,110.17
1990-07-06,110.54
1990-07-09,110.63
1990-07-10,110.1
1990-07-11,110.84
1990-07-12,112.12
1990-07-13,111.56
1990-07-16,112.43
1990-07-17,113.03
1990-07-18,112.47
1990-07-19,112.57
1990-07-20,112.81
1990-07-23,111.15
1990-07-24,111.04
1990-07-25,110.76
1990-07-26,110.41
1990-07-27,110.18
1990-07-30,109.59
1990-07-31,110.24
1990-08-01,109.89
1990-08-02,108.23
1990-08-03,106.73
1990-08-06,102.05
1990-08-07,103.31
1990-08-08,102.12
1990-08-09,102.78
1990-08-10,102.43
1990-08-13,100.68
1990-08-14,101.55
1990-08-15,101.14
1990-08-16,101.36
1990-08-17,99.25
1990-08-20,97.44
1990-08-21,94.59
1990-08-22,94.94
1990-08-23,93.0
1990-08-24,94.27
1990-08-27,96.78
1990-08-28,97.35
1990-08-29,97.46
1990-08-30,98.27
1990-08-31,97.75
1990-09-03,97.3
1990-09-04,95.81
1990-09-05,95.88
1990-09-06,95.02
1990-09-07,94.99
1990-09-10,95.93
1990-09-11,95.44
1990-09-12,96.08
1990-09-13,95.72
1990-09-14,94.17
1990-09-17,93.48
1990-09-18,92.16
1990-09-19,91.61
1990-09-20,89.97
1990-09-21,89.13
1990-09-24,87.77
1990-09-25,86.6
1990-09-26,87.1
1990-09-27,87.57
1990-09-28,86.39
1990-10-01,88.51
1990-10-02,90.4
1990-10-03,90.45
1990-10-04,89.94
1990-10-05,91.18
1990-10-08,93.58
1990-10-09,91.48
1990-10-10,90.48
1990-10-11,90.48
1990-10-12,91.09
1990-10-15,91.16
1990-10-16,90.67
1990-10-17,90.25
1990-10-18,91.05
1990-10-19,91.73
1990-10-22,91.64
1990-10-23,93.1
1990-10-24,93.28
1990-10-25,92.27
1990-10-26,90.99
1990-10-29,90.64
1990-10-30,89.77
1990-10-31,90.01
1990-11-01,89.19
1990-11-02,89.0
1990-11-05,89.05
1990-11-06,89.34
1990-11-07,88.52
1990-11-08,87.63
1990-11-09,87.96
1990-11-12,88.42
1990-11-13,88.75
1990-11-14,88.04
1990-11-15,88.48
1990-11-16,88.57
1990-11-19,89.71
1990-11-20,90.1
1990-11-21,90.11
1990-11-22,90.37
1990-11-23,91.0
1990-11-26,90.12
1990-11-27,89.72
1990-11-28,89.56
1990-11-29,89.87
1990-11-30,89.89
1990-12-03,91.25
1990-12-04,90.52
1990-12-05,91.07
1990-12-06,92.33
1990-12-07,92.85
1990-12-10,92.32
1990-12-11,91.88
1990-12-12,91.88
1990-12-13,92.39
1990-12-14,92.08
1990-12-17,90.86
1990-12-18,90.9
1990-12-19,90.77
1990-12-20,89.32
1990-12-21,89.83
1990-12-24,89.16
1990-12-25,89.6
1990-12-26,89.32
1990-12-27,89.45
1990-12-28,89.24
1990-12-31,88.91
1991-01-01,88.91
1991-01-02,88.19
1991-01-03,88.2
1991-01-04,88.78
1991-01-07,87.74
1991-01-08,87.21
1991-01-09,88.32
1991-01-10,87.23
1991-01-11,87.11
1991-01-14,85.53
1991-01-15,85.47
1991-01-16,85.2
1991-01-17,88.55
1991-01-18,88.21
1991-01-21,87.42
1991-01-22,86.92
1991-01-23,86.52
1991-01-24,87.54
1991-01-25,88.04
1991-01-28,88.43
1991-01-29,88.18
1991-01-30,89.58
1991-01-31,89.88
1991-02-01,89.89
1991-02-04,90.47
1991-02-05,91.47
1991-02-06,91.33
1991-02-07,92.55
1991-02-08,93.07
1991-02-11,94.53
1991-02-12,93.99
1991-02-13,94.55
1991-02-14,95.5
1991-02-15,96.5
1991-02-18,97.82
1991-02-19,98.04
1991-02-20,97.29
1991-02-21,97.83
1991-02-22,98.79
1991-02-25,99.99
1991-02-26,98.83
1991-02-27,99.23
1991-02-28,100.13
1991-03-01,99.7
1991-03-04,100.16
1991-03-05,101.38
1991-03-06,102.85
1991-03-07,102.8
1991-03-08,103.73
1991-03-11,103.37
1991-03-12,103.28
1991-03-13,102.82
1991-03-14,104.48
1991-03-15,104.13
1991-03-18,104.13
1991-03-19,103.03
1991-03-20,102.27
1991-03-21,103.23
1991-03-22,102.43
1991-03-25,102.72
1991-03-26,102.82
1991-03-27,103.35
1991-03-28,103.98
1991-03-29,104.21
1991-04-01,104.58
1991-04-02,104.91
1991-04-03,105.82
1991-04-04,106.18
1991-04-05,106.89
1991-04-08,106.35
1991-04-09,106.44
1991-04-10,105.43
1991-04-11,106.08
1991-04-12,106.4
1991-04-15,106.52
1991-04-16,105.78
1991-04-17,106.57
1991-04-18,106.79
1991-04-19,106.19
1991-04-22,105.02
1991-04-23,105.5
1991-04-24,105.12
1991-04-25,105.16
1991-04-26,103.58
1991-04-29,104.92
1991-04-30,104.66
1991-05-01,104.9
1991-05-02,106.08
1991-05-03,105.98
1991-05-06,106.02
1991-05-07,106.28
1991-05-08,105.75
1991-05-09,106.07
1991-05-10,106.5
1991-05-13,105.17
1991-05-14,104.79
1991-05-15,104.31
1991-05-16,104.49
1991-05-17,104.28
1991-05-20,104.62
1991-05-21,105.3
1991-05-22,105.3
1991-05-23,105.67
1991-05-24,105.27
1991-05-27,105.49
1991-05-28,105.93
1991-05-29,106.21
1991-05-30,106.12
1991-05-31,106.89
1991-06-03,107.63
1991-06-04,107.31
1991-06-05,107.71
1991-06-06,107.38
1991-06-07,106.91
1991-06-10,106.98
1991-06-11,107.76
1991-06-12,106.82
1991-06-13,106.76
1991-06-14,107.32
1991-06-17,106.55
1991-06-18,106.27
1991-06-19,105.53
1991-06-20,105.23
1991-06-21,105.78
1991-06-24,104.5
1991-06-25,104.39
1991-06-26,103.64
1991-06-27,103.87
1991-06-28,102.92
1991-07-01,103.25
1991-07-02,103.46
1991-07-03,102.83
1991-07-04,103.12
1991-07-05,104.2
1991-07-08,102.97
1991-07-09,103.66
1991-07-10,104.67
1991-07-11,104.13
1991-07-12,104.21
1991-07-15,104.98
1991-07-16,105.48
1991-07-17,105.19
1991-07-18,105.02
1991-07-19,105.24
1991-07-22,105.35
1991-07-23,105.98
1991-07-24,105.59
1991-07-25,105.34
1991-07-26,105.19
1991-07-29,105.29
1991-07-30,105.65
1991-07-31,105.63
1991-08-01,105.75
1991-08-02,105.91
1991-08-05,105.82
1991-08-06,104.98
1991-08-07,105.8
1991-08-08,105.7
1991-08-09,105.4
1991-08-12,105.29
1991-08-13,105.75
1991-08-14,106.31
1991-08-15,106.45
1991-08-16,106.58
1991-08-19,101.25
1991-08-20,102.59
1991-08-21,104.39
1991-08-22,105.94
1991-08-23,106.64
1991-08-26,106.94
1991-08-27,106.7
1991-08-28,106.71
1991-08-29,107.02
1991-08-30,107.35
1991-09-02,108.06
1991-09-03,107.95
1991-09-04,107.86
1991-09-05,107.92
1991-09-06,108.09
1991-09-09,107.43
1991-09-10,106.7
1991-09-11,106.41
1991-09-12,106.89
1991-09-13,106.64
1991-09-16,106.39
1991-09-17,106.07
1991-09-18,106.01
1991-09-19,105.91
1991-09-20,106.18
1991-09-23,105.64
1991-09-24,105.83
1991-09-25,105.77
1991-09-26,105.57
1991-09-27,105.5
1991-09-30,106.02
1991-10-01,106.36
1991-10-02,106.19
1991-10-03,105.76
1991-10-04,105.46
1991-10-07,104.75
1991-10-08,104.47
1991-10-09,103.86
1991-10-10,103.82
1991-10-11,103.44
1991-10-14,103.73
1991-10-15,104.13
1991-10-16,104.04
1991-10-17,104.28
1991-10-18,104.47
1991-10-21,104.02
1991-10-22,103.96
1991-10-23,103.89
1991-10-24,103.19
1991-10-25,102.58
