Nom,EURO STOXX 50® (Gross Return EUR)
ISIN,CH0102173264
Symbole,SX5GT
Source,https://stoxx.com/index/sx5gt/?factsheet=true
Date,Close
2001-12-14,761.41
2001-12-17,787.89
2001-12-18,785.19
2001-12-19,779.07
2001-12-20,771.81
2001-12-21,788.66
2001-12-24,788.77
2001-12-27,806.14
2001-12-28,812.06
2002-01-02,801.39
2002-01-03,817.94
2002-01-04,815.23
2002-01-07,801.15
2002-01-08,794.66
2002-01-09,794.44
2002-01-10,782.48
2002-01-11,789.03
2002-01-14,765.95
2002-01-15,776.34
2002-01-16,763.41
2002-01-17,778.95
2002-01-18,777.16
2002-01-21,769.19
2002-01-22,771.89
2002-01-23,779.19
2002-01-24,792.29
2002-01-25,790.4
2002-01-28,797.29
2002-01-29,786.85
2002-01-30,775.33
2002-01-31,783.94
2002-02-01,786.59
2002-02-04,773.04
2002-02-05,755.19
2002-02-06,744.45
2002-02-07,751.83
2002-02-08,749.16
2002-02-11,759.55
2002-02-12,756.81
2002-02-13,762.85
2002-02-14,772.38
2002-02-15,759.35
2002-02-18,755.58
2002-02-19,736.67
2002-02-20,733.28
2002-02-21,743.42
2002-02-22,732.66
2002-02-25,746.14
2002-02-26,751.8
2002-02-27,767.06
2002-02-28,774.21
2002-03-01,778.61
2002-03-04,800.66
2002-03-05,797.14
2002-03-06,800.68
2002-03-07,804.56
2002-03-08,809.49
2002-03-11,804.58
2002-03-12,795.4
2002-03-13,790.91
2002-03-14,792.73
2002-03-15,802.2
2002-03-18,807.1
2002-03-19,810.85
2002-03-20,800.38
2002-03-21,795.13
2002-03-22,800.34
2002-03-25,793.37
2002-03-26,797.86
2002-03-27,798.33
2002-03-28,808.82
2002-04-02,800.46
2002-04-03,801.42
2002-04-04,789.16
2002-04-05,786.3
2002-04-08,770.69
2002-04-09,774.6
2002-04-10,782.8
2002-04-11,768.82
2002-04-12,772.75
2002-04-15,780.98
2002-04-16,800.8
2002-04-17,801.74
2002-04-18,792.79
2002-04-19,794.05
2002-04-22,785.34
2002-04-23,783.73
2002-04-24,776.85
2002-04-25,766.24
2002-04-26,763.39
2002-04-29,759.03
2002-04-30,766.78
2002-05-02,760.72
2002-05-03,750.69
2002-05-06,747.29
2002-05-07,741.83
2002-05-08,760.6
2002-05-09,757.58
2002-05-10,744.85
2002-05-13,755.18
2002-05-14,769.47
2002-05-15,773.8
2002-05-16,770.2
2002-05-17,767.29
2002-05-20,760.53
2002-05-21,759.21
2002-05-22,747.57
2002-05-23,749.81
2002-05-24,751.97
2002-05-27,757.13
2002-05-28,750.96
2002-05-29,749.66
2002-05-30,733.65
2002-05-31,742.2
2002-06-03,732.95
2002-06-04,706.88
2002-06-05,708.57
2002-06-06,710.68
2002-06-07,696.38
2002-06-10,695.26
2002-06-11,708.26
2002-06-12,689.1
2002-06-13,681.68
2002-06-14,662.65
2002-06-17,692.7
2002-06-18,691.67
2002-06-19,677.37
2002-06-20,663.29
2002-06-21,658.7
2002-06-24,636.73
2002-06-25,654.03
2002-06-26,641.16
2002-06-27,652.83
2002-06-28,681.23
2002-07-01,681.44
2002-07-02,652.67
2002-07-03,637.39
2002-07-04,655.85
2002-07-05,688.86
2002-07-08,686.77
2002-07-09,677.59
2002-07-10,649.38
2002-07-11,627.71
2002-07-12,628.23
2002-07-15,589.69
2002-07-16,590.67
2002-07-17,613.72
2002-07-18,620.42
2002-07-19,586.75
2002-07-22,553.99
2002-07-23,535.18
2002-07-24,530.77
2002-07-25,547.51
2002-07-26,552.24
2002-07-29,592.75
2002-07-30,585.98
2002-07-31,584.65
2002-08-01,556.96
2002-08-02,555.31
2002-08-05,533.55
2002-08-06,565.14
2002-08-07,559.16
2002-08-08,588.24
2002-08-09,599.86
2002-08-12,582.69
2002-08-13,588.85
2002-08-14,565.23
2002-08-15,584.21
2002-08-16,592.11
2002-08-19,616.43
2002-08-20,604.65
2002-08-21,611.53
2002-08-22,626.6
2002-08-23,615.48
